,bio_func_names
1865,"mitochondrial electron transport, ubiquinol to cytochrome c"
1866,mitochondrial fission
1867,mitochondrial fragmentation involved in apoptotic process
1868,mitochondrial fusion
1869,mitochondrial genome maintenance
1870,mitochondrial respiratory chain complex I assembly
1871,mitochondrial respiratory chain complex IV assembly
1872,mitochondrial transcription
1873,mitochondrial translation
1874,mitochondrial translational elongation
1875,mitochondrial translational termination
1876,mitochondrial transport
1877,mitochondrion morphogenesis
1878,mitochondrion organization
1879,mitotic DNA replication checkpoint
1880,mitotic G2 DNA damage checkpoint
1881,mitotic cell cycle
1882,mitotic cell cycle arrest
1883,mitotic cell cycle checkpoint
1884,mitotic chromosome condensation
1885,mitotic cytokinesis
1886,mitotic metaphase plate congression
1887,mitotic nuclear envelope disassembly
1888,mitotic sister chromatid cohesion
1889,mitotic sister chromatid segregation
1890,mitotic spindle assembly
1891,mitotic spindle assembly checkpoint
1892,mitotic spindle midzone assembly
1893,mitotic spindle organization
1894,modulation of chemical synaptic transmission
1895,monocarboxylic acid transport
1896,monocyte chemotaxis
1897,monocyte differentiation
1898,morphogenesis of an epithelium
1899,morphogenesis of embryonic epithelium
1900,motile cilium assembly
1901,motor neuron axon guidance
1902,multicellular organism aging
1903,multicellular organism development
1904,multicellular organism growth
1905,multivesicular body assembly
1906,multivesicular body sorting pathway
1907,muscle cell cellular homeostasis
1908,muscle cell differentiation
1909,muscle contraction
1910,muscle fiber development
1911,muscle filament sliding
1912,muscle organ development
1913,myelination
1914,myelination in peripheral nervous system
1915,myeloid cell differentiation
1916,myeloid dendritic cell differentiation
1917,myoblast differentiation
1918,myoblast fusion
1919,myofibril assembly
1920,natural killer cell activation
1921,natural killer cell activation involved in immune response
1922,natural killer cell differentiation
1923,natural killer cell mediated cytotoxicity
1924,necroptotic process
1925,negative chemotaxis
1926,negative regulation by host of viral transcription
1927,negative regulation of ATPase activity
1928,negative regulation of B cell proliferation
1929,negative regulation of BMP signaling pathway
1930,negative regulation of DNA binding
1931,negative regulation of DNA biosynthetic process
1932,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
1933,negative regulation of DNA recombination
1934,negative regulation of DNA replication
1935,negative regulation of DNA-binding transcription factor activity
1936,negative regulation of ERK1 and ERK2 cascade
1937,negative regulation of G protein-coupled receptor signaling pathway
1938,negative regulation of G0 to G1 transition
1939,negative regulation of G1/S transition of mitotic cell cycle
1940,negative regulation of G2/M transition of mitotic cell cycle
1941,negative regulation of GTPase activity
1942,negative regulation of I-kappaB kinase/NF-kappaB signaling
1943,negative regulation of JAK-STAT cascade
1944,negative regulation of JNK cascade
1945,negative regulation of JUN kinase activity
1946,negative regulation of MAP kinase activity
1947,negative regulation of MAPK cascade
1948,negative regulation of NF-kappaB transcription factor activity
1949,negative regulation of NIK/NF-kappaB signaling
1950,negative regulation of Notch signaling pathway
1951,negative regulation of Ras protein signal transduction
1952,negative regulation of Rho protein signal transduction
1953,negative regulation of T cell activation
1954,negative regulation of T cell proliferation
1955,negative regulation of T cell receptor signaling pathway
1956,negative regulation of TOR signaling
1957,negative regulation of TORC1 signaling
1958,negative regulation of Wnt signaling pathway
1959,negative regulation of actin filament polymerization
1960,negative regulation of activated T cell proliferation
1961,negative regulation of adenylate cyclase activity
1962,negative regulation of amyloid-beta formation
1963,negative regulation of androgen receptor signaling pathway
1964,negative regulation of angiogenesis
1965,negative regulation of anoikis
1966,negative regulation of apoptotic process
1967,negative regulation of apoptotic signaling pathway
1968,negative regulation of appetite
1969,negative regulation of astrocyte differentiation
1970,negative regulation of autophagosome assembly
1971,negative regulation of autophagy
1972,negative regulation of axon extension
1973,negative regulation of axon extension involved in axon guidance
1974,negative regulation of axon regeneration
1975,negative regulation of axonogenesis
1976,negative regulation of blood coagulation
1977,negative regulation of blood pressure
1978,negative regulation of blood vessel endothelial cell migration
1979,negative regulation of bone mineralization
1980,negative regulation of bone resorption
1981,negative regulation of cAMP-mediated signaling
1982,negative regulation of calcineurin-NFAT signaling cascade
1983,negative regulation of calcium ion transport
1984,negative regulation of canonical Wnt signaling pathway
1985,negative regulation of cardiac muscle cell apoptotic process
1986,negative regulation of cardiac muscle cell proliferation
1987,negative regulation of cardiac muscle hypertrophy
1988,negative regulation of catalytic activity
1989,negative regulation of cell adhesion
1990,negative regulation of cell cycle
1991,negative regulation of cell cycle arrest
1992,negative regulation of cell death
1993,negative regulation of cell differentiation
1994,negative regulation of cell growth
1995,negative regulation of cell migration
1996,negative regulation of cell migration involved in sprouting angiogenesis
1997,negative regulation of cell motility
1998,negative regulation of cell proliferation
1999,negative regulation of cell size
2000,negative regulation of cell-cell adhesion
2001,negative regulation of cell-matrix adhesion
2002,negative regulation of cell-substrate adhesion
2003,negative regulation of cellular senescence
2004,negative regulation of chondrocyte differentiation
2005,negative regulation of chromatin silencing
2006,negative regulation of cold-induced thermogenesis
2007,negative regulation of collagen biosynthetic process
2008,negative regulation of cyclin-dependent protein serine/threonine kinase activity
2009,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
2010,negative regulation of cytokine production
2011,negative regulation of cytokine production involved in inflammatory response
2012,negative regulation of cytokine secretion
2013,negative regulation of cytosolic calcium ion concentration
2014,negative regulation of delayed rectifier potassium channel activity
2015,negative regulation of double-strand break repair via homologous recombination
2016,negative regulation of endocytosis
2017,negative regulation of endopeptidase activity
2018,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
2019,negative regulation of endothelial cell apoptotic process
2020,negative regulation of endothelial cell migration
2021,negative regulation of endothelial cell proliferation
2022,negative regulation of epidermal growth factor receptor signaling pathway
2023,negative regulation of epidermal growth factor-activated receptor activity
2024,negative regulation of epithelial cell migration
2025,negative regulation of epithelial cell proliferation
2026,negative regulation of epithelial to mesenchymal transition
2027,negative regulation of erythrocyte differentiation
2028,negative regulation of excitatory postsynaptic potential
2029,negative regulation of execution phase of apoptosis
2030,negative regulation of extrinsic apoptotic signaling pathway
2031,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
2032,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
2033,negative regulation of fat cell differentiation
2034,negative regulation of fatty acid biosynthetic process
2035,negative regulation of fibrinolysis
2036,negative regulation of fibroblast growth factor receptor signaling pathway
2037,negative regulation of fibroblast proliferation
2038,negative regulation of focal adhesion assembly
2039,negative regulation of gene expression
2040,"negative regulation of gene expression, epigenetic"
2041,negative regulation of glial cell proliferation
2042,negative regulation of gluconeogenesis
2043,negative regulation of glucose import
2044,negative regulation of glycolytic process
2045,negative regulation of growth
2046,negative regulation of growth of symbiont in host
2047,negative regulation of heart rate
2048,negative regulation of heterotypic cell-cell adhesion
2049,negative regulation of histone acetylation
2050,negative regulation of hydrogen peroxide-induced cell death
2051,negative regulation of immune response
2052,negative regulation of inclusion body assembly
2053,negative regulation of inflammatory response
2054,negative regulation of innate immune response
2055,negative regulation of insulin receptor signaling pathway
2056,negative regulation of insulin secretion
2057,negative regulation of interferon-beta production
2058,negative regulation of interferon-gamma production
2059,negative regulation of interleukin-1 beta secretion
2060,negative regulation of interleukin-10 production
2061,negative regulation of interleukin-12 production
2062,negative regulation of interleukin-17 production
2063,negative regulation of interleukin-2 production
2064,negative regulation of interleukin-6 production
2065,negative regulation of intracellular estrogen receptor signaling pathway
2066,negative regulation of intrinsic apoptotic signaling pathway
2067,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
2068,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
2069,negative regulation of keratinocyte proliferation
2070,negative regulation of kinase activity
2071,negative regulation of lipid catabolic process
2072,negative regulation of lipopolysaccharide-mediated signaling pathway
2073,negative regulation of long-term synaptic potentiation
2074,"negative regulation of mRNA splicing, via spliceosome"
2075,negative regulation of macroautophagy
2076,negative regulation of macrophage derived foam cell differentiation
2077,negative regulation of microtubule depolymerization
2078,negative regulation of microtubule polymerization
2079,negative regulation of mitotic cell cycle
2080,negative regulation of multicellular organism growth
2081,negative regulation of myeloid cell differentiation
2082,negative regulation of myoblast differentiation
2083,negative regulation of myotube differentiation
2084,negative regulation of necroptotic process
2085,negative regulation of neural precursor cell proliferation
2086,negative regulation of neurogenesis
2087,negative regulation of neuron apoptotic process
2088,negative regulation of neuron death
2089,negative regulation of neuron differentiation
2090,negative regulation of neuron migration
2091,negative regulation of neuron projection development
2092,negative regulation of nitric oxide biosynthetic process
2093,negative regulation of oligodendrocyte differentiation
2094,negative regulation of ossification
2095,negative regulation of osteoblast differentiation
2096,negative regulation of osteoclast differentiation
2097,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
2098,negative regulation of oxidative stress-induced neuron death
2099,negative regulation of pathway-restricted SMAD protein phosphorylation
2100,negative regulation of peptidyl-serine phosphorylation
2101,negative regulation of peptidyl-threonine phosphorylation
2102,negative regulation of peptidyl-tyrosine phosphorylation
2103,negative regulation of phagocytosis
2104,negative regulation of phosphatase activity
2105,negative regulation of phosphatidylinositol 3-kinase signaling
2106,negative regulation of phosphoprotein phosphatase activity
2107,negative regulation of phosphorylation
2108,negative regulation of platelet aggregation
2109,negative regulation of potassium ion transmembrane transport
2110,negative regulation of potassium ion transport
2111,negative regulation of pri-miRNA transcription by RNA polymerase II
2112,negative regulation of programmed cell death
2113,negative regulation of proteasomal protein catabolic process
2114,negative regulation of proteasomal ubiquitin-dependent protein catabolic process
2115,negative regulation of protein autophosphorylation
2116,negative regulation of protein binding
2117,negative regulation of protein catabolic process
2118,negative regulation of protein complex assembly
2119,negative regulation of protein homooligomerization
2120,negative regulation of protein import into nucleus
2121,negative regulation of protein kinase B signaling
2122,negative regulation of protein kinase activity
2123,negative regulation of protein localization to cell surface
2124,negative regulation of protein localization to nucleus
2125,negative regulation of protein localization to plasma membrane
2126,negative regulation of protein phosphorylation
2127,negative regulation of protein processing
2128,negative regulation of protein secretion
2129,negative regulation of protein serine/threonine kinase activity
2130,negative regulation of protein sumoylation
2131,negative regulation of protein tyrosine kinase activity
2132,negative regulation of protein ubiquitination
2133,negative regulation of proteolysis
2134,negative regulation of reactive oxygen species biosynthetic process
2135,negative regulation of reactive oxygen species metabolic process
2136,negative regulation of release of cytochrome c from mitochondria
2137,negative regulation of ryanodine-sensitive calcium-release channel activity
2138,negative regulation of signal transduction
2139,negative regulation of smooth muscle cell migration
2140,negative regulation of smooth muscle cell proliferation
2141,negative regulation of smoothened signaling pathway
2142,negative regulation of sodium ion transmembrane transporter activity
2143,negative regulation of stem cell differentiation
2144,negative regulation of stress fiber assembly
2145,negative regulation of substrate adhesion-dependent cell spreading
2146,negative regulation of systemic arterial blood pressure
2147,negative regulation of telomerase activity
2148,negative regulation of telomere maintenance via telomerase
2149,negative regulation of telomere maintenance via telomere lengthening
2150,negative regulation of toll-like receptor 4 signaling pathway
2151,negative regulation of toll-like receptor signaling pathway
2152,negative regulation of transcription by RNA polymerase II
2153,negative regulation of transcription by competitive promoter binding
2154,negative regulation of transcription elongation from RNA polymerase II promoter
2155,negative regulation of transcription regulatory region DNA binding
2156,"negative regulation of transcription, DNA-templated"
2157,negative regulation of transforming growth factor beta receptor signaling pathway
2158,negative regulation of translation
2159,negative regulation of translational initiation
2160,negative regulation of transposition
2161,negative regulation of tumor necrosis factor production
2162,negative regulation of tumor necrosis factor-mediated signaling pathway
2163,negative regulation of type I interferon production
2164,negative regulation of tyrosine phosphorylation of STAT protein
2165,negative regulation of ubiquitin protein ligase activity
2166,negative regulation of ubiquitin-dependent protein catabolic process
2167,negative regulation of vascular endothelial growth factor receptor signaling pathway
2168,negative regulation of vascular permeability
2169,negative regulation of vascular smooth muscle cell proliferation
2170,negative regulation of viral entry into host cell
2171,negative regulation of viral genome replication
2172,negative regulation of viral release from host cell
2173,negative regulation of viral transcription
2174,negative regulation of voltage-gated calcium channel activity
2175,negative regulation of wound healing
2176,negative thymic T cell selection
2177,nerve development
2178,nerve growth factor signaling pathway
2179,nervous system development
2180,nervous system process
2181,neural crest cell development
2182,neural crest cell migration
2183,neural precursor cell proliferation
2184,neural retina development
2185,neural tube closure
2186,neural tube development
2187,neuroblast proliferation
2188,neurogenesis
2189,neuromuscular junction development
2190,neuromuscular process
2191,neuromuscular process controlling balance
2192,neuromuscular process controlling posture
2193,neuromuscular synaptic transmission
2194,neuron apoptotic process
2195,neuron cell-cell adhesion
2196,neuron cellular homeostasis
2197,neuron development
2198,neuron differentiation
2199,neuron fate commitment
2200,neuron fate specification
2201,neuron maturation
2202,neuron migration
2203,neuron projection development
2204,neuron projection extension
2205,neuron projection maintenance
2206,neuron projection morphogenesis
2207,neuron remodeling
2208,neuronal action potential
2209,neuronal stem cell population maintenance
2210,neuropeptide signaling pathway
2211,neurotransmitter biosynthetic process
2212,neurotransmitter secretion
2213,neurotrophin TRK receptor signaling pathway
2214,neutral amino acid transport
2215,neutrophil activation
2216,neutrophil chemotaxis
2217,neutrophil degranulation
2218,neutrophil mediated immunity
2219,nitric oxide biosynthetic process
2220,nitric oxide mediated signal transduction
2221,non-canonical Wnt signaling pathway
2222,non-motile cilium assembly
2223,notochord development
2224,nuclear envelope organization
2225,nuclear export
2226,nuclear migration
2227,nuclear-transcribed mRNA catabolic process
2228,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
2229,nuclear-transcribed mRNA poly(A) tail shortening
2230,nucleic acid phosphodiester bond hydrolysis
2231,nucleobase-containing compound metabolic process
2232,nucleobase-containing small molecule catabolic process
2233,nucleobase-containing small molecule interconversion
2234,nucleocytoplasmic transport
2235,nucleoside metabolic process
2236,nucleosome assembly
2237,nucleosome disassembly
2238,nucleosome positioning
2239,nucleotide-binding oligomerization domain containing signaling pathway
2240,nucleotide-excision repair
2241,"nucleotide-excision repair, DNA damage recognition"
2242,"nucleotide-excision repair, DNA gap filling"
2243,"nucleotide-excision repair, DNA incision"
2244,"nucleotide-excision repair, DNA incision, 5'-to lesion"
2245,"nucleotide-excision repair, preincision complex assembly"
2246,"nucleotide-excision repair, preincision complex stabilization"
2247,nucleus organization
2248,odontogenesis
2249,odontogenesis of dentin-containing tooth
2250,olfactory bulb development
2251,oligodendrocyte development
2252,oligodendrocyte differentiation
2253,oligosaccharide biosynthetic process
2254,oligosaccharide catabolic process
2255,oligosaccharide metabolic process
2256,one-carbon metabolic process
2257,oocyte development
2258,oocyte maturation
2259,oogenesis
2260,organ induction
2261,organelle organization
2262,organic acid metabolic process
2263,ossification
2264,osteoblast development
2265,osteoblast differentiation
2266,osteoclast differentiation
2267,outer dynein arm assembly
2268,outflow tract morphogenesis
2269,outflow tract septum morphogenesis
2270,ovarian follicle development
2271,oxaloacetate metabolic process
2272,oxidation-reduction process
2273,oxidative phosphorylation
2274,pancreas development
2275,parturition
2276,pathway-restricted SMAD protein phosphorylation
2277,pattern specification process
2278,pentose-phosphate shunt
2279,peptide catabolic process
2280,peptide cross-linking
2281,peptide hormone processing
2282,peptide metabolic process
2283,peptidyl-L-cysteine S-palmitoylation
2284,peptidyl-serine dephosphorylation
2285,peptidyl-serine phosphorylation
2286,peptidyl-threonine dephosphorylation
2287,peptidyl-threonine phosphorylation
2288,peptidyl-tyrosine autophosphorylation
2289,peptidyl-tyrosine dephosphorylation
2290,peptidyl-tyrosine phosphorylation
2291,peripheral nervous system development
2292,peripheral nervous system neuron development
2293,peristalsis
2294,peroxisome fission
2295,peroxisome organization
2296,phagocytosis
2297,"phagocytosis, engulfment"
2298,"phagocytosis, recognition"
2299,pharyngeal system development
2300,phosphate ion transmembrane transport
2301,phosphate-containing compound metabolic process
2302,phosphatidic acid biosynthetic process
2303,phosphatidylcholine acyl-chain remodeling
2304,phosphatidylcholine biosynthetic process
2305,phosphatidylcholine metabolic process
2306,phosphatidylethanolamine acyl-chain remodeling
2307,phosphatidylethanolamine biosynthetic process
2308,phosphatidylglycerol acyl-chain remodeling
2309,phosphatidylinositol 3-kinase signaling
2310,phosphatidylinositol acyl-chain remodeling
2311,phosphatidylinositol biosynthetic process
2312,phosphatidylinositol dephosphorylation
2313,phosphatidylinositol phosphorylation
2314,phosphatidylinositol-mediated signaling
2315,phosphatidylserine acyl-chain remodeling
2316,phospholipase C-activating G protein-coupled receptor signaling pathway
2317,phospholipid biosynthetic process
2318,phospholipid dephosphorylation
2319,phospholipid efflux
2320,phospholipid homeostasis
2321,phospholipid metabolic process
2322,phospholipid translocation
2323,phospholipid transport
2324,phosphorylation
2325,photoreceptor cell maintenance
2326,photoreceptor cell outer segment organization
2327,phototransduction
2328,piRNA metabolic process
2329,pigmentation
2330,pituitary gland development
2331,placenta blood vessel development
2332,placenta development
2333,planar cell polarity pathway involved in neural tube closure
2334,plasma membrane organization
2335,plasma membrane tubulation
2336,plasminogen activation
2337,platelet activation
2338,platelet aggregation
2339,platelet degranulation
2340,platelet formation
2341,platelet-derived growth factor receptor signaling pathway
2342,poly(A)+ mRNA export from nucleus
2343,poly-N-acetyllactosamine biosynthetic process
2344,positive chemotaxis
2345,positive regulation by host of viral transcription
2346,positive regulation of ATP biosynthetic process
2347,positive regulation of ATPase activity
2348,positive regulation of B cell activation
2349,positive regulation of B cell differentiation
2350,positive regulation of B cell proliferation
2351,positive regulation of BMP signaling pathway
2352,positive regulation of CREB transcription factor activity
2353,positive regulation of DNA binding
2354,positive regulation of DNA biosynthetic process
2355,"positive regulation of DNA damage response, signal transduction by p53 class mediator"
2356,positive regulation of DNA repair
2357,positive regulation of DNA replication
2358,positive regulation of DNA-binding transcription factor activity
2359,"positive regulation of DNA-templated transcription, elongation"
2360,positive regulation of ERK1 and ERK2 cascade
2361,positive regulation of G protein-coupled receptor signaling pathway
2362,positive regulation of G1/S transition of mitotic cell cycle
2363,positive regulation of G2/M transition of mitotic cell cycle
2364,positive regulation of GTPase activity
2365,positive regulation of I-kappaB kinase/NF-kappaB signaling
2366,positive regulation of JAK-STAT cascade
2367,positive regulation of JNK cascade
2368,positive regulation of JUN kinase activity
2369,positive regulation of MAP kinase activity
2370,positive regulation of MAPK cascade
2371,positive regulation of NF-kappaB transcription factor activity
2372,positive regulation of NIK/NF-kappaB signaling
2373,positive regulation of Notch signaling pathway
2374,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
2375,positive regulation of RNA splicing
2376,positive regulation of Ras protein signal transduction
2377,positive regulation of Rho protein signal transduction
2378,positive regulation of SMAD protein signal transduction
2379,positive regulation of T cell activation
2380,positive regulation of T cell chemotaxis
2381,positive regulation of T cell cytokine production
2382,positive regulation of T cell differentiation
2383,positive regulation of T cell differentiation in thymus
2384,positive regulation of T cell mediated cytotoxicity
2385,positive regulation of T cell migration
2386,positive regulation of T cell proliferation
2387,positive regulation of T cell receptor signaling pathway
2388,positive regulation of TOR signaling
2389,positive regulation of TORC1 signaling
2390,positive regulation of Wnt signaling pathway
2391,positive regulation of acrosome reaction
2392,positive regulation of actin cytoskeleton reorganization
2393,positive regulation of actin filament bundle assembly
2394,positive regulation of actin filament polymerization
2395,positive regulation of actin nucleation
2396,positive regulation of activated T cell proliferation
2397,positive regulation of acute inflammatory response
2398,positive regulation of adenylate cyclase activity
2399,positive regulation of alpha-beta T cell differentiation
2400,positive regulation of alpha-beta T cell proliferation
2401,positive regulation of amyloid-beta formation
2402,positive regulation of angiogenesis
2403,positive regulation of apoptotic process
2404,positive regulation of apoptotic signaling pathway
2405,positive regulation of astrocyte differentiation
2406,positive regulation of autophagosome assembly
2407,positive regulation of autophagy
2408,positive regulation of axon extension
2409,positive regulation of axonogenesis
2410,positive regulation of blood coagulation
2411,positive regulation of blood pressure
2412,positive regulation of blood vessel diameter
2413,positive regulation of blood vessel endothelial cell migration
2414,positive regulation of bone mineralization
2415,positive regulation of bone resorption
2416,positive regulation of branching involved in ureteric bud morphogenesis
2417,positive regulation of brown fat cell differentiation
2418,positive regulation of cAMP-mediated signaling
2419,positive regulation of calcineurin-NFAT signaling cascade
2420,positive regulation of calcium ion import
2421,positive regulation of calcium ion transport
2422,positive regulation of calcium ion transport into cytosol
2423,positive regulation of calcium ion-dependent exocytosis
2424,positive regulation of calcium-mediated signaling
2425,positive regulation of canonical Wnt signaling pathway
2426,positive regulation of cardiac muscle cell apoptotic process
2427,positive regulation of cardiac muscle cell proliferation
2428,positive regulation of cardiac muscle hypertrophy
2429,positive regulation of cartilage development
2430,positive regulation of catalytic activity
2431,positive regulation of cell adhesion
2432,positive regulation of cell adhesion mediated by integrin
2433,positive regulation of cell cycle
2434,positive regulation of cell cycle G1/S phase transition
2435,positive regulation of cell cycle arrest
2436,positive regulation of cell death
2437,positive regulation of cell differentiation
2438,positive regulation of cell division
2439,positive regulation of cell growth
2440,positive regulation of cell migration
2441,positive regulation of cell migration involved in sprouting angiogenesis
2442,positive regulation of cell motility
2443,positive regulation of cell proliferation
2444,positive regulation of cell size
2445,positive regulation of cell-cell adhesion
2446,positive regulation of cell-cell adhesion mediated by cadherin
2447,positive regulation of cell-matrix adhesion
2448,positive regulation of cell-substrate adhesion
2449,positive regulation of cellular component movement
2450,positive regulation of cellular protein catabolic process
2451,positive regulation of cellular protein metabolic process
2452,positive regulation of cellular senescence
2453,positive regulation of chemokine production
2454,positive regulation of chemokine secretion
2455,positive regulation of chemotaxis
2456,positive regulation of cholesterol efflux
2457,positive regulation of chondrocyte differentiation
2458,positive regulation of chromatin binding
2459,positive regulation of cilium assembly
2460,positive regulation of cold-induced thermogenesis
2461,positive regulation of collagen biosynthetic process
2462,positive regulation of cyclin-dependent protein serine/threonine kinase activity
2463,positive regulation of cysteine-type endopeptidase activity
2464,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
2465,positive regulation of cytokine production
2466,positive regulation of cytokine production involved in inflammatory response
2467,positive regulation of cytokine secretion
2468,positive regulation of cytokine-mediated signaling pathway
2469,positive regulation of cytokinesis
2470,positive regulation of cytosolic calcium ion concentration
2471,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway
2472,positive regulation of defense response to virus by host
2473,positive regulation of dendrite development
2474,positive regulation of dendrite extension
2475,positive regulation of dendrite morphogenesis
2476,positive regulation of dendritic spine development
2477,positive regulation of dendritic spine morphogenesis
2478,positive regulation of double-strand break repair
2479,positive regulation of double-strand break repair via nonhomologous end joining
2480,positive regulation of endocytosis
2481,positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
2482,positive regulation of endothelial cell apoptotic process
2483,positive regulation of endothelial cell chemotaxis
2484,positive regulation of endothelial cell differentiation
2485,positive regulation of endothelial cell migration
2486,positive regulation of endothelial cell proliferation
2487,positive regulation of epidermal growth factor receptor signaling pathway
2488,positive regulation of epidermal growth factor-activated receptor activity
2489,positive regulation of epithelial cell migration
2490,positive regulation of epithelial cell proliferation
2491,positive regulation of epithelial to mesenchymal transition
2492,positive regulation of erythrocyte differentiation
2493,positive regulation of establishment of protein localization to telomere
2494,positive regulation of excitatory postsynaptic potential
2495,positive regulation of exocytosis
2496,positive regulation of exosomal secretion
2497,positive regulation of extrinsic apoptotic signaling pathway
2498,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand
2499,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
2500,positive regulation of fat cell differentiation
2501,positive regulation of fatty acid beta-oxidation
2502,positive regulation of fatty acid biosynthetic process
2503,positive regulation of fibroblast migration
2504,positive regulation of fibroblast proliferation
2505,positive regulation of filopodium assembly
2506,positive regulation of flagellated sperm motility
2507,positive regulation of focal adhesion assembly
2508,positive regulation of gene expression
2509,"positive regulation of gene expression, epigenetic"
2510,positive regulation of gene silencing by miRNA
2511,positive regulation of glial cell proliferation
2512,positive regulation of glucose import
2513,positive regulation of glucose metabolic process
2514,positive regulation of glycogen biosynthetic process
2515,positive regulation of glycolytic process
2516,positive regulation of granulocyte macrophage colony-stimulating factor production
2517,positive regulation of growth
2518,positive regulation of heart rate
2519,positive regulation of heterotypic cell-cell adhesion
2520,positive regulation of histone H3-K4 methylation
2521,positive regulation of histone acetylation
2522,positive regulation of histone deacetylation
2523,positive regulation of immunoglobulin secretion
2524,positive regulation of inflammatory response
2525,positive regulation of innate immune response
2526,positive regulation of insulin receptor signaling pathway
2527,positive regulation of insulin secretion
2528,positive regulation of insulin secretion involved in cellular response to glucose stimulus
2529,positive regulation of insulin-like growth factor receptor signaling pathway
2530,positive regulation of interferon-alpha production
2531,positive regulation of interferon-alpha secretion
2532,positive regulation of interferon-beta production
2533,positive regulation of interferon-gamma biosynthetic process
2534,positive regulation of interferon-gamma production
2535,positive regulation of interleukin-1 beta secretion
2536,positive regulation of interleukin-1 secretion
2537,positive regulation of interleukin-10 production
2538,positive regulation of interleukin-12 production
2539,positive regulation of interleukin-17 production
2540,positive regulation of interleukin-2 biosynthetic process
2541,positive regulation of interleukin-2 production
2542,positive regulation of interleukin-4 production
2543,positive regulation of interleukin-6 production
2544,positive regulation of interleukin-6 secretion
2545,positive regulation of interleukin-8 production
2546,positive regulation of interleukin-8 secretion
2547,positive regulation of intracellular estrogen receptor signaling pathway
2548,positive regulation of intracellular protein transport
2549,positive regulation of intrinsic apoptotic signaling pathway
2550,positive regulation of isotype switching
2551,positive regulation of isotype switching to IgG isotypes
2552,positive regulation of keratinocyte differentiation
2553,positive regulation of keratinocyte migration
2554,positive regulation of kinase activity
2555,positive regulation of lamellipodium assembly
2556,positive regulation of leukocyte chemotaxis
2557,positive regulation of leukocyte migration
2558,positive regulation of lipid biosynthetic process
2559,positive regulation of lipid storage
2560,positive regulation of long-term synaptic potentiation
2561,positive regulation of mRNA catabolic process
2562,"positive regulation of mRNA splicing, via spliceosome"
2563,positive regulation of macroautophagy
2564,positive regulation of macrophage activation
2565,positive regulation of macrophage chemotaxis
2566,positive regulation of macrophage derived foam cell differentiation
2567,positive regulation of macrophage differentiation
2568,positive regulation of membrane protein ectodomain proteolysis
2569,positive regulation of mesenchymal cell proliferation
2570,positive regulation of microtubule polymerization
2571,positive regulation of mitochondrial calcium ion concentration
2572,positive regulation of mitochondrial depolarization
2573,positive regulation of mitochondrial fission
2574,positive regulation of mitochondrial membrane potential
2575,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
2576,positive regulation of mitochondrial translation
2577,positive regulation of mitotic cell cycle
2578,positive regulation of mitotic nuclear division
2579,positive regulation of monocyte chemotaxis
2580,positive regulation of monocyte differentiation
2581,positive regulation of multicellular organism growth
2582,positive regulation of muscle cell differentiation
2583,positive regulation of myelination
2584,positive regulation of myoblast differentiation
2585,positive regulation of myoblast fusion
2586,positive regulation of natural killer cell mediated cytotoxicity
2587,positive regulation of neural precursor cell proliferation
2588,positive regulation of neuroblast proliferation
2589,positive regulation of neurogenesis
2590,positive regulation of neuron apoptotic process
2591,positive regulation of neuron death
2592,positive regulation of neuron differentiation
2593,positive regulation of neuron migration
2594,positive regulation of neuron projection development
2595,positive regulation of neutrophil chemotaxis
2596,positive regulation of nitric oxide biosynthetic process
2597,positive regulation of nitric-oxide synthase activity
2598,positive regulation of nitric-oxide synthase biosynthetic process
2599,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
2600,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening
2601,positive regulation of oligodendrocyte differentiation
2602,positive regulation of organ growth
2603,positive regulation of ossification
2604,positive regulation of osteoblast differentiation
2605,positive regulation of osteoblast proliferation
2606,positive regulation of osteoclast differentiation
2607,positive regulation of p38MAPK cascade
2608,positive regulation of pathway-restricted SMAD protein phosphorylation
2609,positive regulation of peptidyl-serine phosphorylation
2610,positive regulation of peptidyl-serine phosphorylation of STAT protein
2611,positive regulation of peptidyl-threonine phosphorylation
2612,positive regulation of peptidyl-tyrosine phosphorylation
2613,positive regulation of phagocytosis
2614,"positive regulation of phagocytosis, engulfment"
2615,positive regulation of phosphatidylinositol 3-kinase activity
