Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
Q14439,0.577,31,-0.513,0.125,0.121,361,891.736,279.013,612.723,3173.85,53.947,3.867,0.454,0.526,28.594,3.953,35,3,36.559,12.625,31.632,0.74
Q14442,0.678,11,0.262,0.533,0.026,47,136.29,20.358,115.932,442.644,40.333,3.912,0.522,0.894,46.923,4.769,4,1,20.588,3.849,8.993,0.931
Q14444,0.153,30,-0.019,0.004,0.004,37,157.775,45.466,112.309,475.01,24.414,4.098,0.462,0.784,26,5.429,6,2,25.926,4.811,12.36,0.694
Q14449,0.322,32,-0.46,0.174,0.056,108,420.638,124.71,295.928,1390.034,36.714,4.069,0.49,0.519,24.706,4.235,10,1,33.846,7.237,15.997,0.672
Q14451,0.36,34,0.214,0.069,0.023,259,615.884,220.99,394.895,2358.329,19.165,3.908,0.455,0.305,19.036,4.214,31,6,44.805,12.502,33.01,0.92
Q14457,0.394,45,0.31,0.255,0.145,45,112.137,54.17,57.966,487.758,24,3.956,0.489,0.556,39.071,4.786,7,2,36.667,3.4,7.597,0.557
Q14469,0.469,21,0.052,0.202,0.009,73,202.207,47.631,154.576,642.499,51.055,4.07,0.487,0.753,15,5.556,7,2,31.707,4.328,10.842,0.662
Q14493,0.368,20,0.028,0.329,0.211,21,83.445,19.441,64.004,223.55,17,3.897,0.501,0.857,69,5,2,1,17.647,2.719,6.638,0.937
Q14494,0.427,37,-0.081,0.328,0.293,23,152.13,28.952,123.178,369.881,16.947,4.057,0.537,0.826,44.5,4.875,4,0,22.222,4.592,9.116,0.597
Q14498,0.846,38,-0.21,0.828,0.332,40,198.698,15,183.698,527.96,28.065,4.159,0.579,0.775,50.3,3.9,2,0,25,4.13,12.596,0.576
Q14500,0.823,30,-0.186,0.555,0.016,44,199.758,2.143,197.615,475.793,37.535,4.031,0.484,0.977,75.909,4.818,2,0,13.793,4.699,9.812,0.921
Q14507,0.486,15,0.387,0.374,0.045,40,125.08,34.508,90.572,435.633,17.739,3.945,0.555,0.575,16.7,3.5,3,2,35.484,4.705,11.489,0.84
Q14508,0.134,8,0.198,0.103,0.001,19,75.127,7.5,67.627,230.237,12.533,3.777,0.671,0.789,78.2,4.4,0,0,26.316,3.47,7.688,0.353
Q14511,0.897,40,0.201,0.171,0.165,46,129.198,9.643,119.555,319.795,35.591,3.733,0.369,0.957,57.667,4.75,4,2,13.333,4.68,11.515,0.879
Q14512,0.707,16,0.124,0.155,0.038,32,107.702,36.452,71.25,363.738,14.235,3.999,0.56,0.531,9.8,4.6,6,2,36,3.904,11.773,0.919
Q14515,0.766,17,-0.298,0.068,0.019,126,473.326,150.889,322.437,1427.274,33.314,4.032,0.437,0.556,14.619,4.476,14,2,40.845,9.629,26.306,0.796
Q14517-1,0.151,98,0.064,0.123,0.119,33,109.476,32.188,77.288,444.599,22.923,3.949,0.509,0.788,24.778,4.667,5,1,38.462,4.32,10.922,0.859
Q14517-10,0.919,91,-0.144,0.086,0.053,159,468.355,215.961,252.394,1528.51,27.333,3.986,0.468,0.415,39.172,4.207,12,-2,32.584,10.732,32.703,0.727
Q14517-11,0.875,87,-0.41,0.456,0.416,153,540.046,239.347,300.699,1646.906,19.391,3.877,0.462,0.301,20,3.543,18,-1,44.565,9.562,25.493,0.63
Q14517-12,0.784,90,-0.071,0.423,0.378,60,189.505,108.594,80.911,627.289,23.692,3.843,0.465,0.433,19.444,4.111,12,2,45,6.153,18.608,0.894
Q14517-13,0.557,87,0.019,0.425,0.127,57,100.81,36.806,64.004,273.963,31,3.858,0.446,0.561,41.462,5.154,8,3,46.667,3.164,7.592,0.849
Q14517-14,0.41,94,0.087,0.148,0.132,128,360.853,166.266,194.586,1297.912,31.5,3.951,0.477,0.438,21.545,4.182,15,3,47.368,8.021,21.28,0.677
Q14517-15,0.336,85,-0.079,0.206,0.178,65,181.799,88.811,92.987,529.503,28.933,3.874,0.403,0.462,36.286,5.071,9,2,48.649,4.423,11.55,0.913
Q14517-16,0.417,86,-0.028,0.04,0.026,112,325.048,95.935,229.113,1122.431,46.035,4.083,0.53,0.509,29.381,3.81,9,0,38.462,6.929,18.894,0.73
Q14517-17,0.632,79,-0.039,0.333,0.279,72,175.781,81.586,94.195,502.737,24.148,3.985,0.401,0.375,24.786,3.5,8,-3,48.571,4.542,11.962,0.535
Q14517-2,0.28,126,0.071,0.096,0.095,44,93.836,32.188,61.648,362.785,28,4.145,0.555,0.659,61.083,4.5,3,1,25,3.121,6.84,0.811
Q14517-3,0.377,96,-0.237,0.255,0.237,48,221.12,82.183,138.936,778.349,26.941,4.151,0.392,0.708,42.5,5.6,5,2,26.667,5.682,13.392,0.624
Q14517-4,0.093,93,-0.157,0.09,0.035,119,322.604,121.584,201.02,1066.354,17.556,3.905,0.466,0.303,32.667,4.148,16,4,38.889,7.191,19.983,0.704
Q14517-5,0.475,105,-0.132,0.269,0.26,85,292.859,102.054,190.805,927.583,25.75,3.987,0.532,0.471,17.75,3.45,11,1,40.741,6.495,16.605,0.728
Q14517-6,0.433,110,-0.102,0.169,0.079,112,390.56,137.611,252.948,1336.719,33.446,4.062,0.455,0.58,25.071,4.25,12,0,33.333,8.096,22.138,0.705
Q14517-7,0.432,96,-0.054,0.266,0.215,95,310.148,148.326,161.822,1022.272,25.812,4.058,0.525,0.337,12.95,3.15,12,-1,46.667,7.547,24.375,0.61
Q14517-8,0.528,96,0.151,0.082,0.06,68,159.354,39.799,119.555,657.172,38.955,3.911,0.42,0.647,7.938,4.312,11,2,35,5.046,15.269,0.514
Q14517-9,0.324,98,-0.181,0.19,0.138,61,200.007,64.752,135.254,660.575,25.118,3.807,0.449,0.557,34.917,4.583,4,1,35.897,4.929,14.131,0.307
Q14520,0.632,35,-0.002,0.02,0.011,84,117.201,39.755,77.447,426.952,32.526,3.916,0.554,0.452,13.611,2.722,8,-3,40,3.828,11.607,0.611
Q14524,0.982,186,-0.038,0.926,0.799,127,347.415,13.951,333.464,1131.636,63.092,4.001,0.512,0.937,79.846,4.654,3,0,14.865,8.309,20.378,0.843
Q14525,0.334,23,0.258,0.262,0.071,20,92.307,5.357,86.949,346.584,16.105,4.029,0.673,0.95,68.4,5.2,1,1,20,4.416,9.215,0.986
Q14526,0.828,45,-0.043,0.535,0.25,92,239.907,45.4,194.507,854.153,59.826,3.96,0.512,0.75,40.2,4.267,7,1,30,5.265,17.176,0.5
Q14527,0.705,84,-0.08,0.26,0.224,61,180.116,47.277,132.839,541.486,29.143,3.935,0.446,0.574,35,4.438,9,2,28.205,5.065,12.408,0.575
Q14532,0.533,23,0.266,0.36,0.13,22,56.1,5.379,50.72,196.208,18,3.722,0.66,0.864,46,4.8,2,1,33.333,2.437,7.117,0.952
Q14533,0.477,18,0.309,0.462,0.438,16,99.807,12.858,86.949,287.285,11.067,3.77,0.695,0.938,31.167,4.667,3,-1,28.571,4.756,12.74,0.996
Q14534,0.953,62,-0.451,0.92,0.356,133,434.655,74.307,360.348,1307.739,68.951,3.867,0.462,0.774,50.333,4.778,9,0,21.127,7.141,21.515,0.667
Q14541,0.927,31,0.367,0.006,0.005,90,155.667,8.594,147.073,552.987,60.026,3.926,0.504,0.856,58.955,4.273,5,0,24,5.493,12.522,0.93
Q14542,0.946,35,0.081,0.23,0.213,115,325.596,60.334,265.262,1078.923,37.405,3.933,0.45,0.643,38.586,4.034,11,1,30.303,8.167,18.708,0.954
Q14549,0.585,11,0.136,0.034,0.009,42,199.878,59.793,140.085,542.14,23.333,4.007,0.571,0.714,39.778,4.778,3,3,33.333,5.147,13.275,0.702
Q14554,0.556,47,-0.184,0.328,0.278,48,200.11,70.893,129.216,556.875,19.364,3.942,0.499,0.458,36.182,4.273,6,-1,45.455,4.363,12.081,0.574
Q14558,0.099,26,-0.064,0.093,0.028,26,130.161,32.343,97.818,454.444,19.81,4.078,0.654,0.808,38.364,5.182,5,1,29.63,4.152,12.686,0.842
Q14562,0.892,110,-0.473,0.255,0.217,171,434.965,145.134,289.831,1335.216,41.039,3.83,0.428,0.45,25.423,4.346,11,4,40.449,7.98,20.506,0.655
Q14563,0.363,70,-0.134,0.268,0.071,33,196.249,52.878,143.371,624.02,24.129,4.123,0.568,0.939,20.143,5,6,0,22.581,5.479,13.711,0.322
Q14565,0.355,25,0.178,0.215,0.042,31,83.681,25.715,57.966,291.587,26,3.898,0.531,0.871,10.571,4.429,5,-1,27.273,3.017,7.111,0.964
Q14566,0.695,69,-0.453,0.67,0.352,68,302.727,110.714,192.013,872.686,32,4.04,0.482,0.559,23.579,4.368,10,3,37.5,6.352,17.588,0.64
Q14568,0.643,32,0.311,0.142,0.022,106,196.682,66.674,130.008,813.976,35.902,4.042,0.52,0.387,21.2,3.48,13,1,46.774,6.056,13.421,0.898
Q14571-1,0.964,113,-0.572,0.108,0.036,118,403.374,38.573,364.802,1116.717,66.075,4.008,0.434,0.898,66.529,4.647,3,1,23.333,7.085,17.884,0.625
Q14571-2,0.913,134,-0.163,0.263,0.115,99,425.324,79.686,345.638,1348.71,42.636,4.019,0.486,0.667,58.286,4.667,5,2,30.435,9.342,26.597,0.463
Q14571-3,0.076,120,-0.111,0.056,0.045,64,131.399,51.696,79.703,498.31,35.946,3.997,0.523,0.578,39.308,4.615,7,-2,38.462,3.656,10.454,0.861
Q14571-4,0.578,127,-1.042,0.229,0.107,272,785.689,271.734,513.955,2533.438,58.77,3.955,0.44,0.449,8.471,4.441,20,4,39.552,9.771,27.776,0.54
Q14571-5,0.912,125,-0.808,0.492,0.064,239,664.647,231.603,433.043,2223.83,53.672,3.915,0.445,0.51,19.467,4.367,18,2,33.333,9.384,26.391,0.566
Q14571-6,0.614,117,0.048,0.409,0.16,37,96.294,12.968,83.326,386.712,28.909,4.102,0.599,0.892,54.625,5.125,3,2,21.429,4.312,10.205,0.884
Q14571-7,0.418,123,-0.145,0.288,0.255,35,153.617,20.778,132.839,503.3,24.207,3.945,0.49,0.829,43,4.727,4,2,27.586,4.649,11.191,0.762
Q14571-8,0.892,115,0.019,0.357,0.117,45,159.569,8.616,150.954,453.005,25.949,3.802,0.458,0.867,81.75,5.083,2,0,17.143,5.801,14.33,0.804
Q14573,0.629,239,-0.096,0.391,0.237,66,127.559,46.648,80.911,448.634,49.782,3.808,0.491,0.833,66.556,5.778,5,1,27.027,3.718,11.541,0.649
Q14574,0.793,63,-0.414,0.061,0.016,113,465.785,150.535,315.25,1566.861,43.101,3.997,0.444,0.611,37.586,3.621,11,-1,37.5,8.34,23.599,0.258
Q14576,0.175,20,-0.243,0.029,0.028,104,377.461,145.2,232.26,1101.364,27.962,4.034,0.52,0.51,30.053,3.632,9,2,34.426,7.331,20.009,0.651
Q14582,0.525,14,0.267,0.454,0.388,29,88.32,19.485,68.835,267.156,20.545,4.006,0.64,0.759,12.833,4.667,3,3,25,2.722,9.467,0.92
Q14584,0.911,33,-0.075,0.25,0.176,142,425.793,178.229,247.564,1459.317,41.973,3.933,0.538,0.528,19.778,5,14,-1,36.905,9.509,29.241,0.445
Q14585,0.116,39,-0.426,0.006,0.005,101,439.467,148.924,290.543,1268.493,39.66,4.096,0.488,0.525,21.19,4.19,9,-3,36.667,7.199,18.944,0.424
Q14586,0.119,54,-0.113,0.029,0.012,80,231.867,43.102,188.766,781.986,41.636,3.931,0.506,0.688,47.846,4.615,6,1,30.612,5.942,16.078,0.128
Q14587,0.36,65,0.242,0.271,0.254,36,106.484,44.262,62.222,426.525,20.783,3.96,0.578,0.639,19.5,4.6,5,0,35.484,3.904,10.06,0.738
Q14588,0.989,59,0.23,0.901,0.239,111,273.233,48.614,224.619,809.415,40.462,3.829,0.427,0.703,42.318,4.864,11,0,30.882,7.969,21.149,0.492
Q14590,0.875,67,0.325,0.121,0.065,56,159.344,53.905,105.439,562.186,25.071,3.94,0.545,0.5,22.923,3.923,7,1,40,5.594,15.339,0.432
Q14592,0.727,58,-0.006,0.285,0.179,79,245.221,67.878,177.343,696.957,26.087,3.899,0.429,0.582,39.385,4.385,5,2,34.043,6.405,16.971,0.608
Q14593,0.32,43,-0.309,0.219,0.169,74,399.818,143.841,255.977,1168.815,30.222,4.022,0.476,0.608,10.615,3.615,4,-1,39.13,7.267,18.358,0.267
Q14596,0.183,36,0.018,0.006,0.003,61,252.552,58.124,194.428,837.515,38.2,4.019,0.569,0.82,52.143,4.5,5,-1,28.261,5.678,12.191,0.661
Q14602,0.107,2,0.381,0,0,34,147.624,46.183,101.441,581.3,8.6,3.964,0.665,0.294,12.125,3.875,6,1,42.857,5.329,12.437,0.139
Q14623,0.977,31,0.079,0.118,0.113,173,350.459,58.213,292.246,1232.549,46.788,3.877,0.454,0.572,40.176,3.588,7,2,32.979,8.202,20.055,0.476
Q14624,0.771,70,0.143,0.496,0.315,80,121.876,46.449,75.427,384.334,23.95,3.672,0.423,0.5,35.438,4.5,7,1,36.364,5.532,12.08,0.916
Q14626,0.202,23,0.123,0.106,0.05,22,84.403,28.952,55.452,300.256,10,4.084,0.604,0.5,24.667,4.111,3,0,36.364,3.745,9.914,0.923
Q14627,0.307,26,0.2,0.178,0.087,31,46.778,14.172,32.606,117.083,20,3.583,0.515,0.677,26.167,5,3,1,42.105,1.607,4.793,0.935
Q14641,0.464,11,-0.14,0.006,0.005,34,178.761,41.092,137.67,520.232,26,4.148,0.524,0.794,22.286,5.143,5,3,27.586,3.541,10.372,0.432
Q14642,0.389,29,0.361,0.182,0.164,58,136.995,36.762,100.233,425.85,17,3.679,0.426,0.31,11.125,4,10,2,54.054,4.688,9.837,0.983
Q14643-1,0.797,132,-0.307,0.605,0.233,50,237.169,17.143,220.026,701.465,38.533,4.123,0.527,0.9,82.143,4.714,1,0,14.706,5.215,11.964,0.561
Q14643-2,0.693,122,0.129,0.162,0.154,80,115.328,46.493,68.835,360.966,41.864,3.838,0.442,0.55,37.917,5.417,7,1,39.474,3.809,9.629,0.815
Q14643-3,0.605,131,0.025,0.156,0.034,98,190.16,104.418,85.742,641.444,45.208,3.893,0.472,0.49,17.353,4.941,12,-1,45.455,5.008,13.648,0.825
Q14643-4,0.517,134,0.169,0.395,0.101,103,163.08,90.622,72.458,626.248,46.48,3.9,0.475,0.485,17.353,4.941,12,-1,45.455,5.091,13.769,0.883
Q14643-5,0.637,130,-0.435,0.178,0.076,110,331.983,108.571,223.411,933.388,36.418,3.873,0.484,0.609,35.526,4,11,1,32.787,6.908,17.778,0.364
Q14643-6,0.685,133,0.088,0.503,0.486,51,160.409,5.357,155.051,607.782,31.644,3.837,0.539,0.882,64.769,5.154,4,1,16.667,5.868,14.181,0.731
Q14643-7,0.191,138,-0.005,0.167,0.124,32,98.753,2.143,96.61,377.189,28.065,4.121,0.594,0.969,85.889,5.111,1,0,9.091,3.709,9.366,0.872
Q14643-8,0.977,139,-0.2,0.903,0.44,63,249.183,12.924,236.259,763.633,31.782,3.849,0.498,0.873,70.529,4.824,3,1,17.391,6.725,17.153,0.854
Q14644,0.173,70,-0.275,0.071,0.052,98,317.616,100.243,217.373,1069.435,30.292,3.909,0.461,0.49,38.882,4.059,6,1,33.898,7.522,16.416,0.383
Q14651,0.423,39,-0.163,0.103,0.048,79,193.055,73.678,119.377,563.228,46.04,3.867,0.437,0.633,38.625,4.375,8,2,40,4.752,12.38,0.889
Q14653,0.194,36,-0.038,0.046,0.043,28,81.372,16.16,65.212,279.99,25,3.852,0.49,0.929,24.667,4.333,3,-1,19.048,2.793,6.882,0.96
Q14654,0.592,33,-0.002,0.166,0.162,26,85.333,3.214,82.119,240.943,24.923,4.012,0.655,1,80.5,5.333,2,0,9.524,3.076,7.102,0.969
Q14656,0.664,17,0.237,0.015,0.013,73,96.107,8.682,87.424,347.045,62.738,3.951,0.561,0.89,55.882,3.941,2,0,26.829,3.477,7.717,0.989
Q14657,0.607,11,0.22,0.309,0.232,37,132.062,27.969,104.094,405.661,18.286,3.932,0.514,0.568,14.7,3.7,2,-1,33.333,3.89,11.018,0.833
Q14667,0.841,257,-0.011,0.63,0.368,81,208.126,18.37,189.756,770.904,52.053,3.999,0.547,0.938,84.474,5.684,6,0,11.538,6.162,13.686,0.979
Q14669,0.977,165,-0.296,0.025,0.025,168,439.385,93.053,346.332,1479.375,67.343,3.918,0.457,0.833,44.966,4.448,9,3,29.032,8.775,23.514,0.564
Q14671,0.3,23,-0.078,0.249,0.118,17,79.435,11.808,67.627,258.599,14,4.013,0.635,0.882,60.75,4.75,1,0,20,2.315,4.676,0.616
Q14674,0.885,174,0.619,0.287,0.259,292,604.978,233.028,371.95,2160.252,18.901,3.83,0.452,0.312,13.377,3.672,33,-1,41.104,13.789,37.612,0.834
Q14676,0.176,85,-0.075,0.01,0.007,53,187.901,100.951,86.949,472.688,36.462,3.882,0.485,0.736,6.714,5.571,6,5,36.364,4.265,11.45,0.163
Q14677,0.482,21,0.248,0.064,0.04,47,140.455,28.146,112.309,472.408,27.333,3.955,0.523,0.638,35.333,5.833,5,0,35.714,3.895,9.872,0.584
Q14678,0.245,55,-0.295,0.038,0.009,70,326.591,85.066,241.526,980.407,41.519,4.09,0.526,0.771,12.533,4.333,8,0,30.769,5.905,14.079,0.733
Q14679,0.761,34,-0.191,0.06,0.018,96,349.068,88.953,260.115,1031.347,45.229,4.141,0.401,0.729,47.222,4.5,8,1,30.189,7.173,18.689,0.643
Q14680,0.993,50,0.159,0.054,0.021,147,315.004,64.708,250.296,1000.963,45.976,3.875,0.448,0.565,33.711,3.895,13,-3,39.286,8.341,22.375,0.704
Q14681,0.102,15,0.162,0.055,0.046,32,146.661,57.296,89.364,573.44,9.867,4.029,0.627,0.469,-3,4.625,6,1,40,7.132,16.597,0.979
Q14683,0.206,107,-0.05,0.139,0.122,68,228.632,103.612,125.019,868.854,21.733,4.097,0.57,0.441,6.867,4.667,11,2,36.364,5.926,16.434,0.766
Q14684,0.116,33,0.082,0.098,0.032,73,305.011,132.321,172.691,1008.088,16,4.02,0.476,0.356,20.667,4.167,10,1,52,8.306,23.534,0.616
Q14686,0.362,111,-0.199,0.008,0.004,114,339.612,117.409,222.204,1132.748,41.207,4.223,0.48,0.509,11.8,3.667,7,1,34.483,6.276,17.168,0.266
Q14687,0.472,47,0.021,0.119,0.08,25,91.011,16.138,74.873,214.896,21,3.818,0.502,0.88,51.6,4.4,2,-1,27.778,2.754,6.895,0.203
Q14689,0.904,128,-0.021,0.693,0.376,113,234.509,109.886,124.623,716.118,29.263,3.737,0.377,0.336,14.962,3.808,15,-2,46.774,6.514,16.415,0.825
Q14690,0.792,162,-0.195,0.523,0.404,98,333.789,139.856,193.933,988.794,22.98,3.802,0.402,0.52,21.08,4.44,13,3,36.066,8.93,24.263,0.7
Q14691,0.287,22,0.102,0.271,0.168,51,160.822,64.212,96.61,592.61,16.947,4.135,0.545,0.373,26.4,5.5,7,2,42.857,3.837,9.721,0.648
Q14692,0.333,114,-0.179,0.149,0.134,61,224.537,86.867,137.67,725.263,29.714,4.052,0.538,0.574,-0.625,5,6,5,34.211,5.179,12.686,0.56
Q14693,0.614,48,0.17,0.493,0.248,49,113.868,26.919,86.949,338.402,32.529,3.856,0.419,0.694,32.75,4.5,3,1,30,3.386,8.905,0.795
Q14694,0.349,30,-0.369,0.222,0.16,93,288.205,91.362,196.843,904.47,35.698,4.093,0.433,0.57,36.263,4.368,9,-1,38,5.992,14.748,0.45
Q14695,0.489,15,-1.32,0.066,0.007,215,998.406,209.014,789.392,2563.88,54.241,4.035,0.443,0.656,35.692,4.026,14,0,32.283,11.974,28.74,0.537
Q14696,0.603,18,0.227,0.253,0.108,39,85.886,18.259,67.627,319.639,23.52,3.823,0.413,0.641,36.818,4.818,6,1,38.462,3.738,9.656,0.795
Q14697,0.802,72,0.451,0.562,0.113,65,155.499,33.37,122.129,539.805,23.941,3.745,0.423,0.523,36.95,5.05,12,-2,33.333,6.158,14.857,0.981
Q14699,0.71,31,0.103,0.339,0.018,70,111.932,22.567,89.364,308.894,48.16,3.754,0.463,0.714,58.083,4.667,4,0,23.684,3.866,8.302,0.786
Q14703,0.779,68,0.054,0.583,0.291,75,301.213,88.037,213.176,981.523,23.319,4.019,0.508,0.627,30.5,3.8,7,0,27.273,8.628,22.654,0.921
Q14714,0.731,13,-0.085,0.103,0.027,111,310.849,59.306,251.542,880.813,45.342,3.989,0.494,0.658,34.286,4.19,8,2,30.159,6.192,13.209,0.658
Q14721,0.841,42,-0.292,0.665,0.386,50,203.609,41.787,161.822,626.186,35.526,3.97,0.501,0.76,40.7,4.3,5,-1,25.714,4.622,16.102,0.495
Q14722,0.973,25,-0.038,0.521,0.063,229,549.71,198.963,350.746,2103.611,19,3.892,0.484,0.314,21.477,4.091,26,3,41.481,10.928,33.177,0.938
Q14728,0.964,30,-0.302,0.203,0.045,262,669.483,148.857,520.626,2353.035,59.68,4.046,0.478,0.668,34.936,4.128,18,3,32.867,11.867,29.585,0.937
Q14738,0.665,48,0.048,0.209,0.057,52,181.316,46.161,135.155,576.119,29.268,3.836,0.487,0.788,28,4.077,7,0,39.474,5.596,11.934,0.713
Q14739,0.952,48,-0.015,0.065,0.021,80,169.275,8.66,160.615,540.946,60.632,3.95,0.446,0.95,67.75,4.75,3,0,10.87,4.913,13.75,0.966
Q14746,0.908,55,-0.002,0.066,0.056,69,286.761,59.351,227.41,852.441,32.298,4.016,0.549,0.681,35.846,4.692,5,1,28.571,6.507,17.601,0.67
Q14749,0.941,22,0.494,0.07,0.005,90,139.787,62.499,77.288,520.366,38.439,3.692,0.395,0.456,25.88,3.92,13,-1,50.909,5.969,14.227,0.852
Q14761,0.399,7,0.191,0.371,0.227,29,110.85,25.108,85.742,284.179,21,3.915,0.577,0.759,55.25,5.5,2,1,31.818,2.237,7.893,0.601
Q14764,0.931,70,0.239,0.154,0.038,66,213.414,34.685,178.729,606.74,38.814,3.763,0.459,0.894,62.692,4.538,2,0,25,6.764,16.009,0.406
Q14765,0.139,69,-0.097,0.135,0.132,68,199.176,66.674,132.502,566.524,18.909,3.779,0.423,0.324,27.158,3.842,10,-1,37.778,5.162,13.86,0.604
Q14766,0.149,92,-0.436,0.079,0.069,118,497.983,156.225,341.759,1530.909,39.789,3.871,0.453,0.644,37.455,4.318,10,3,33.333,8.235,20.382,0.406
Q14767,0.477,117,-0.41,0.312,0.279,223,612.995,294.181,318.814,1882.072,32.851,3.957,0.441,0.39,29.829,4.086,18,2,38.596,10.161,27.142,0.553
Q14773,0.617,11,0.263,0.579,0.56,47,124.076,44.372,79.703,409.186,18.3,4.128,0.484,0.426,30,4.154,6,0,41.379,3.299,9.422,0.94
Q14774,0.756,13,-0.414,0.301,0.036,86,469.826,92.986,376.839,1435.019,23.422,4.052,0.519,0.523,47.444,4.667,8,3,23.881,8.092,20.003,0.474
Q14781,0.367,18,0.308,0.041,0.003,23,88.544,7.633,80.911,199.849,22,3.814,0.413,1,57.143,5.286,2,1,17.647,2.38,5.519,0.619
Q14789-1,0.529,112,0.24,0.221,0.131,60,249.53,72.009,177.521,894.309,22.114,3.958,0.588,0.583,15.143,3.929,8,-3,35.417,7.648,22.482,0.925
Q14789-10,0.202,143,0.249,0.195,0.139,20,66.129,11.786,54.343,242.798,17.684,3.853,0.689,0.95,9.167,4.5,4,-1,35.294,3.257,8.039,0.85
Q14789-11,0.405,137,-0.214,0.289,0.125,56,230.789,50.536,180.253,703.266,36.45,4.171,0.58,0.714,39.545,4.636,5,2,32.5,5.285,12.888,0.834
Q14789-2,0.788,113,0.201,0.536,0.406,42,159.172,12.99,146.182,501.083,20.171,3.882,0.618,0.833,65.5,5,2,-1,27.273,6.436,13.571,0.863
Q14789-3,0.195,119,0.059,0.109,0.051,30,116.598,13.079,103.519,361.855,20,3.946,0.697,0.767,37.667,5,2,2,33.333,4.382,10.51,0.821
Q14789-4,0.741,125,0.074,0.268,0.073,39,120.182,23.572,96.61,368.045,30.743,3.845,0.641,0.897,27.571,5.143,5,1,26.923,3.958,11.951,0.904
Q14789-5,0.473,135,-0.055,0.204,0.15,92,395.552,122.965,272.587,1132.873,36.968,3.961,0.542,0.674,8.722,4.944,13,2,39.706,8.749,20.851,0.899
Q14789-6,0.607,133,-0.179,0.126,0.098,97,356.378,100.796,255.581,1029.922,42.545,3.96,0.492,0.567,11,4.8,9,3,32.258,7.047,20.133,0.831
Q14789-7,0.611,112,-0.157,0.243,0.188,30,176.909,27.163,149.746,510.161,25.704,4.116,0.447,0.9,57.111,4.667,3,2,33.333,3.66,10.448,0.87
Q14789-8,0.732,132,0.177,0.544,0.476,29,115.75,23.97,91.78,407.996,20.522,3.977,0.653,0.793,18.5,5.833,4,4,29.63,4.474,9.929,0.796
Q14789-9,0.168,150,0.227,0.155,0.075,26,48.814,15,33.814,181.394,23,3.921,0.717,0.923,51,5,2,-1,27.778,1.821,5.578,0.917
Q14790,0.589,42,0.006,0.43,0.099,34,146.887,33.37,113.517,542.065,20.696,4.197,0.721,0.676,11.167,5,5,-1,33.333,4.71,11.772,0.983
Q147U1,0.125,48,-0.345,0.075,0.051,151,557.486,267.833,289.652,1664.629,32.097,3.944,0.446,0.411,22.286,4.143,16,-3,41.489,11.253,29.309,0.454
Q147U7,0.877,13,-0.011,0.02,0.01,60,194.342,7.655,186.687,631.137,46.615,4.091,0.564,0.867,72.636,4.364,2,1,17.647,4.603,11.874,0.978
Q147X3,0.428,21,-0.031,0.053,0.049,77,261.022,85.916,175.106,785.208,27.714,3.805,0.513,0.636,12.625,3.812,9,-4,41.071,6.629,16.532,0.375
Q14802,0.835,4,0.074,0.049,0,34,197.949,16.271,181.678,461.536,26,4.032,0.575,0.882,45.556,3.667,2,1,23.333,4.506,11.814,0.79
Q14807,0.381,59,-0.152,0.351,0.276,34,175.446,16.138,159.308,444.913,26.483,3.833,0.421,0.853,67.125,4.875,2,1,25,4.153,9.295,0.526
Q14814,0.373,11,0.328,0.078,0.015,22,61.181,3.214,57.966,160.048,19,3.831,0.599,0.909,65,4.75,1,0,21.053,1.883,4.906,0.636
Q14831,0.95,64,-0.338,0.083,0.072,93,346.258,69.711,276.547,1041.035,52.179,4.02,0.532,0.839,35.333,4.167,7,3,27.119,7.286,21.56,0.479
Q14832,0.798,69,-0.005,0.751,0.271,39,112.807,1.071,111.735,298.132,36.308,3.857,0.475,1,67,4.625,2,-1,14.286,3.748,9.375,0.918
Q14833,0.891,68,-0.295,0.735,0.248,100,330.033,119.906,210.127,1065.069,38.543,3.855,0.414,0.7,27,4.35,9,1,32.759,7.598,20.412,0.731
Q14839,0.847,143,-0.665,0.395,0.304,272,726.35,222.314,504.036,2431.087,78.843,3.953,0.474,0.724,36.853,4.412,14,2,32.117,10.294,26.652,0.493
Q14847,0.476,11,0.028,0.066,0.043,31,172.948,73.368,99.58,516.425,18.455,3.906,0.59,0.71,-5,5.2,4,0,40.741,4.954,11.352,0.57
Q14849,0.971,32,0.265,0.438,0.137,150,247.745,69.016,178.729,883.291,44.688,3.946,0.486,0.427,27.824,3.706,16,1,41.892,7.008,19.538,0.965
Q14863,0.489,19,-0.002,0.421,0.306,26,100.628,16.094,84.534,311.64,20.727,3.847,0.535,0.846,64,3.778,1,0,25,3.017,8.207,0.46
Q14865,0.69,46,0.051,0.583,0.302,36,117.517,25.737,91.78,349.894,18.88,3.68,0.427,0.694,37.083,3.917,5,0,41.379,4.882,12.463,0.586
